date,value
2020-01-26,0
2020-02-02,2
2020-02-09,0
2020-02-16,3
2020-02-23,11
2020-03-01,50
2020-03-08,437
2020-03-15,2059
2020-03-22,7563
2020-03-29,20365
2020-04-05,37694
2020-04-12,46351
2020-04-19,43994
2020-04-26,37703
2020-05-03,29982
2020-05-10,24992
2020-05-17,19679
2020-05-24,14975
2020-05-31,9596
2020-06-07,9090
2020-06-14,7434
2020-06-21,7149
2020-06-28,5363
2020-07-05,4825
2020-07-12,6379
2020-07-19,6414
2020-07-26,7267
2020-08-02,8476
2020-08-09,8138
2020-08-16,8180
2020-08-23,7071
2020-08-30,7084
2020-09-06,6987
2020-09-13,6333
2020-09-20,7358
2020-09-27,7822
2020-10-04,7981
2020-10-11,8685
2020-10-18,10039
2020-10-25,13251
2020-11-01,17963
2020-11-08,25636
2020-11-15,29057
2020-11-22,33403
2020-11-29,34126
2020-12-06,38430
2020-12-13,39371
2020-12-20,42541
2020-12-27,37401
2021-01-03,42443
2021-01-10,51327
2021-01-17,54530
2021-01-24,53244
2021-01-31,52196
2021-02-07,47725
2021-02-14,39775
2021-02-21,31409
2021-02-28,28797
2021-03-07,25357
2021-03-14,20447
2021-03-21,18484
2021-03-28,19418
2021-04-04,16371
2021-04-11,17815
2021-04-18,15413
2021-04-25,14977
2021-05-02,13969
2021-05-09,13072
2021-05-16,10974
2021-05-23,9845
2021-05-30,9453
2021-06-06,7292
2021-06-13,5753
2021-06-20,4584
2021-06-27,4035
2021-07-04,3293
2021-07-11,3102
2021-07-18,3270
2021-07-25,3480
2021-08-01,4651
2021-08-08,6039
2021-08-15,7487
2021-08-22,11130
2021-08-29,13748
2021-09-05,15933
2021-09-12,16575
2021-09-19,18870
2021-09-26,19115
2021-10-03,17904
2021-10-10,15595
2021-10-17,15729
2021-10-24,15844
2021-10-31,14289
2021-11-07,13859
2021-11-14,14622
2021-11-21,14839
2021-11-28,13760
2021-12-05,20719
2021-12-12,18598
2021-12-19,18996
2021-12-26,19154
2022-01-02,18318
2022-01-09,22180
2022-01-16,25928
2022-01-23,27245
2022-01-30,30795
2022-02-06,31153
2022-02-13,31399
2022-02-20,30032
2022-02-27,25033
2022-03-06,21737
2022-03-13,19499
2022-03-20,18015
2022-03-27,16553
2022-04-03,15750
2022-04-10,14701
2022-04-17,11987
2022-04-24,11214
2022-05-01,10185
2022-05-08,10124
2022-05-15,7844
2022-05-22,7846
2022-05-29,7450
2022-06-05,6654
2022-06-12,7268
2022-06-19,6300
2022-06-26,6741
2022-07-03,6168
2022-07-10,8196
2022-07-17,8659
2022-07-24,10237
2022-07-31,10227
2022-08-07,10771
2022-08-14,10888
2022-08-21,10944
2022-08-28,8778
2022-09-04,2648
