date,value
2020-01-26,39
2020-02-02,306
2020-02-09,544
2020-02-16,861
2020-02-23,687
2020-03-01,474
2020-03-08,378
2020-03-15,680
2020-03-22,1291
2020-03-29,1799
2020-04-05,3355
2020-04-12,4989
2020-04-19,7491
2020-04-26,7965
2020-05-03,10876
2020-05-10,13321
2020-05-17,14949
2020-05-24,17742
2020-05-31,19079
2020-06-07,22417
2020-06-14,24304
2020-06-21,28888
2020-06-28,26652
2020-07-05,27516
2020-07-12,29071
2020-07-19,32816
2020-07-26,32153
2020-08-02,32431
2020-08-09,34225
2020-08-16,33245
2020-08-23,31632
2020-08-30,31265
2020-09-06,29959
2020-09-13,32821
2020-09-20,29194
2020-09-27,29122
2020-10-04,30896
2020-10-11,30705
2020-10-18,26586
2020-10-25,27398
2020-11-01,28508
2020-11-08,31070
2020-11-15,33407
2020-11-22,35772
2020-11-29,37664
2020-12-06,38191
2020-12-13,37562
2020-12-20,38280
2020-12-27,35680
2021-01-03,36720
2021-01-10,40495
2021-01-17,42537
2021-01-24,46068
2021-01-31,45984
2021-02-07,40930
2021-02-14,40992
2021-02-21,36791
2021-02-28,37006
2021-03-07,37976
2021-03-14,40746
2021-03-21,47847
2021-03-28,50963
2021-04-04,55074
2021-04-11,67197
2021-04-18,68897
2021-04-25,75984
2021-05-02,79948
2021-05-09,78195
2021-05-16,74452
2021-05-23,73325
2021-05-30,66897
2021-06-06,63243
2021-06-13,67005
2021-06-20,54050
2021-06-27,48579
2021-07-04,46532
2021-07-11,46854
2021-07-18,46921
2021-07-25,59321
2021-08-01,51158
2021-08-08,51334
2021-08-15,51945
2021-08-22,51619
2021-08-29,49207
2021-09-05,45894
2021-09-12,40730
2021-09-19,38330
2021-09-26,33810
2021-10-03,31772
2021-10-10,31456
2021-10-17,29430
2021-10-24,31664
2021-10-31,35038
2021-11-07,33835
2021-11-14,34599
2021-11-21,34506
2021-11-28,33995
2021-12-05,34219
2021-12-12,29803
2021-12-19,26990
2021-12-26,24727
2022-01-02,22960
2022-01-09,21113
2022-01-16,23140
2022-01-23,26332
2022-01-30,32969
2022-02-06,40838
2022-02-13,41383
2022-02-20,40137
2022-02-27,34232
2022-03-06,28202
2022-03-13,23619
2022-03-20,19120
2022-03-27,29992
2022-04-03,11070
2022-04-10,9175
2022-04-17,7088
2022-04-24,5926
2022-05-01,7295
2022-05-08,3767
2022-05-15,3577
2022-05-22,3162
2022-05-29,2889
2022-06-05,2612
2022-06-12,2883
2022-06-19,3446
2022-06-26,3385
2022-07-03,3660
2022-07-10,4118
2022-07-17,4411
2022-07-24,5196
2022-07-31,5494
2022-08-07,6216
2022-08-14,5558
2022-08-21,5949
2022-08-28,5421
2022-09-04,3875
