,long,lat,date,depth,mag
0,-178.153,-18.1125,1534637980670,600.0,8.2
1,-157.8876,55.3635,1627539349188,35.0,8.2
2,-177.2794,-29.7228,1614886113178,28.93,8.1
3,-25.2637,-58.3753,1628793317231,22.79,8.1
4,-75.2697,-5.8119,1558856475073,122.57,8.0
5,179.3502,-18.4743,1536248958710,670.81,7.9
6,-149.1658,56.0039,1516699900890,14.06,7.9
7,-158.596,55.0715,1595398364810,28.0,7.8
8,171.6566,-23.0511,1612963195530,10.0,7.7
9,-78.756,19.4193,1580238624918,14.86,7.7
10,152.5967,-4.051,1557838705939,10.0,7.6
11,-159.6258,54.602,1603140878950,28.37,7.6
12,146.4692,-6.2557,1662853617827,90.013,7.6
13,-77.0505,-2.1862,1550830643770,145.0,7.5
14,-25.0316,-57.5674,1628793172464,47.23,7.5
15,-83.52,17.4825,1515552693290,19.0,7.5
16,142.7536,-6.0699,1519580684140,25.21,7.5
17,169.4266,-21.9496,1543983488420,10.0,7.5
18,119.8462,-0.2559,1538128965250,20.0,7.5
19,-76.8126,-4.4667,1638096734579,126.0,7.5
20,157.6955,48.9638,1585104561160,57.8,7.5
21,-177.8571,-33.2927,1592484593844,10.0,7.4
22,-177.8398,-29.6768,1614879683370,43.0,7.4
23,-96.0077,15.8861,1592926144350,20.0,7.4
24,-178.0995,-30.6441,1560639304130,46.0,7.3
25,129.1692,-6.4078,1561344819830,212.0,7.3
26,174.8958,-21.1265,1633156157897,527.0,7.3
27,179.4576,-37.4787,1614864454647,10.0,7.3
28,122.2274,-7.6033,1639452023809,14.27,7.3
29,127.5773,-7.5482,1640802351962,165.49,7.3
30,-62.9019,10.7731,1534887107600,146.82,7.3
31,164.6993,55.0999,1545325315150,16.56,7.3
32,98.2513,34.5983,1621620253565,10.0,7.3
33,141.5793,37.7132,1647441390997,41.0,7.3
34,128.034,-0.5858,1563095451523,18.98,7.2
35,-97.9787,16.3855,1518824379280,22.0,7.2
36,-70.2924,-14.9076,1653566541110,236.0,7.2
37,-73.4822,18.4335,1628944148454,10.0,7.2
38,146.4494,-6.9746,1557177577983,146.0,7.1
39,126.4156,1.6213,1573748260578,33.0,7.1
40,-24.8743,-60.2845,1629667998983,6.0,7.1
41,126.7151,6.4748,1628703973143,55.14,7.1
42,-74.7092,-15.7675,1515921525540,39.0,7.1
43,-70.8284,-11.0355,1535101448250,630.0,7.1
44,-26.3856,-58.5446,1544495189420,133.0,7.1
45,170.1262,-22.0295,1535514716100,21.43,7.1
46,141.7751,37.7265,1613225269797,43.98,7.1
47,-149.9552,61.3464,1543598969330,46.7,7.1
48,-117.5993333,35.7695,1562383193040,8.0,7.1
49,127.5145,4.9931,1611231784255,80.0,7.0
50,148.959,45.6161,1581590024406,143.0,7.0
51,147.7704,-7.836,1594954222178,73.0,7.0
52,-70.1546,-14.7131,1551430242591,267.0,7.0
53,126.9209,5.8983,1546054749740,60.21,7.0
54,151.2046,-5.7012,1539204500100,39.0,7.0
55,-99.753,16.9465,1631065667437,20.0,7.0
56,141.6477,38.4515,1616231383966,43.0,7.0
57,170.3744,-22.586,1648705441146,10.0,7.0
58,26.7838,37.8973,1604058687348,21.0,7.0
59,120.8181,17.5207,1658882606871,33.729,7.0
60,123.4649,-6.71,1597982991930,624.0,6.9
61,126.1892,0.5126,1562512120525,35.0,6.9
62,-55.5027,-61.8098,1611445011667,15.0,6.9
63,-26.8533,0.9298,1600465439027,10.0,6.9
64,101.2411,-4.2069,1597789764731,26.0,6.9
65,174.5221,-21.1889,1633777111956,535.0,6.9
66,-157.6441,55.1767,1628942263447,20.74,6.9
67,-23.3552,-58.3686,1629112236583,16.7,6.9
68,104.7907,-7.2822,1564747407001,49.0,6.9
69,-156.581,56.2954,1633943425147,51.6,6.9
70,141.5973,38.1997,1619832447215,43.0,6.9
71,151.4999,-5.5321,1522358736790,35.0,6.9
72,-154.9996667,19.3181667,1525473174650,5.81,6.9
73,116.4375,-8.2581,1533469598630,34.0,6.9
74,116.6272,-8.319,1534690587490,21.0,6.9
75,-179.3728,-31.7447,1536553142630,115.0,6.9
76,170.3659,-22.666,1648673818105,10.0,6.9
77,159.0545,-54.132,1652955211625,10.0,6.9
78,167.0585,-14.8818,1629281405238,93.0,6.9
79,-21.7246,-0.9499,1662284538429,10.0,6.9
80,101.1347,-4.3217,1597789439497,22.0,6.8
81,122.5798,-1.8146,1555069249363,15.46,6.8
82,-71.587,-8.144,1546716338520,570.41,6.8
83,125.1739,6.6969,1576390311155,18.0,6.8
84,-72.3102,-34.2364,1564684087270,25.0,6.8
85,129.7852,-6.7761,1588773235940,96.0,6.8
86,-68.4677,-23.274,1591169736466,112.0,6.8
87,179.9981,-23.7682,1645042866737,535.0,6.8
88,-63.0058,-20.6588,1522676434840,559.0,6.8
89,-129.289,49.3346,1540188986450,10.0,6.8
90,20.5565,37.5203,1540508092630,14.0,6.8
91,-178.9273,-17.8735,1542572746590,540.0,6.8
92,-71.3062,-27.9686,1598933368470,21.0,6.8
93,153.1996,-4.3762,1520530791100,22.86,6.8
94,-66.6519,-23.496,1652223992368,220.0,6.8
95,-114.2583,-22.5907,1657653418460,10.0,6.8
96,-167.7554,52.3415,1641900943674,20.0,6.8
97,-37.1544,7.6829,1599375078470,10.0,6.7
98,42.3568,-43.1219,1548183703580,13.0,6.7
99,-97.8,-36.2797,1612329823520,10.0,6.7
