Date,Open,High,Low,Close,Adj Close,Volume
2012-09-03,8.895000,8.985000,8.795000,8.850000,6.619198,704367
2012-09-04,8.850000,9.095000,8.850000,9.095000,6.802442,954657
2012-09-05,9.025000,9.070000,8.840000,8.850000,6.619198,1093275
2012-09-06,8.890000,9.030000,8.875000,8.975000,6.712689,837414
2012-09-07,9.020000,9.160000,8.960000,9.120000,6.821139,750046
2012-09-10,9.060000,9.200000,8.960000,9.190000,6.873495,745270
2012-09-11,9.090000,9.610000,9.090000,9.455000,7.071695,1883369
2012-09-12,9.455000,9.680000,9.325000,9.500000,7.105353,2148266
2012-09-13,8.715000,8.920000,8.600000,8.655000,7.076735,2039225
2012-09-14,8.800000,9.075000,8.760000,8.940000,7.309764,1482804
2012-09-17,9.000000,9.000000,8.680000,8.740000,7.146235,1101279
2012-09-18,8.630000,8.860000,8.510000,8.695000,7.109442,1134183
2012-09-19,8.735000,8.795000,8.540000,8.660000,7.080823,1580923
2012-09-20,8.625000,8.715000,8.515000,8.525000,6.970441,1128196
2012-09-21,8.590000,8.715000,8.520000,8.520000,6.966354,2930337
2012-09-24,8.510000,8.550000,8.310000,8.310000,6.794648,456378
2012-09-25,8.210000,8.270000,8.050000,8.270000,6.761942,895707
2012-09-26,8.140000,8.210000,7.850000,7.950000,6.500294,1094580
2012-09-27,7.900000,8.440000,7.900000,8.370000,6.843707,1211173
2012-09-28,8.400000,8.900000,8.400000,8.620000,7.048118,2384802
2012-10-01,8.570000,8.830000,8.570000,8.800000,7.195294,842234
2012-10-02,8.650000,8.920000,8.650000,8.680000,7.097177,791898
2012-10-03,8.690000,8.770000,8.610000,8.610000,7.039942,601440
2012-10-04,8.740000,8.790000,8.570000,8.690000,7.105352,1024119
2012-10-05,8.700000,8.720000,8.600000,8.660000,7.080823,706635
2012-10-08,8.670000,8.750000,8.600000,8.640000,7.064471,501405
2012-10-09,8.630000,8.760000,8.620000,8.650000,7.072648,994368
2012-10-10,8.630000,8.680000,8.440000,8.440000,6.900941,551602
2012-10-11,8.390000,8.390000,8.030000,8.240000,6.737412,1243200
2012-10-12,8.180000,8.350000,8.090000,8.090000,6.614765,795160
2012-10-15,8.030000,8.190000,8.000000,8.170000,6.680178,527125
2012-10-16,8.170000,8.210000,8.130000,8.190000,6.696529,611747
2012-10-17,8.140000,8.350000,8.120000,8.210000,6.712883,810907
2012-10-18,8.150000,8.260000,8.050000,8.180000,6.688354,740702
2012-10-19,8.150000,8.250000,8.120000,8.130000,6.647471,489469
2012-10-22,8.070000,8.210000,8.060000,8.160000,6.672001,734414
2012-10-23,8.070000,8.130000,7.950000,7.990000,6.533000,776203
2012-10-24,7.950000,8.330000,7.870000,8.240000,6.737412,2440801
2012-10-25,7.700000,7.780000,6.830000,6.920000,5.658119,9463754
2012-10-26,6.900000,7.250000,6.860000,7.100000,5.805294,3898692
2012-10-29,7.060000,7.060000,6.780000,6.900000,5.641765,1577782
2012-10-30,6.900000,7.070000,6.890000,7.000000,5.723531,800175
2012-10-31,7.000000,7.110000,6.710000,6.710000,5.486413,1513779
2012-11-01,6.780000,6.800000,6.670000,6.730000,5.502765,954519
2012-11-02,6.800000,6.800000,6.660000,6.730000,5.502765,1020280
2012-11-05,6.670000,6.790000,6.640000,6.750000,5.519118,634322
2012-11-06,6.760000,6.780000,6.670000,6.720000,5.494589,973128
2012-11-07,6.700000,6.790000,6.680000,6.720000,5.494589,976179
2012-11-08,6.750000,6.760000,6.640000,6.670000,5.453707,733545
2012-11-09,6.610000,6.720000,6.510000,6.710000,5.486413,827040
2012-11-12,6.660000,6.710000,6.510000,6.620000,5.412825,522845
2012-11-13,6.650000,6.650000,6.410000,6.560000,5.363765,920437
2012-11-14,6.500000,6.510000,6.330000,6.330000,5.175706,805457
2012-11-15,6.320000,6.320000,6.150000,6.320000,5.167530,1014122
2012-11-16,6.250000,6.370000,6.240000,6.350000,5.192059,659505
2012-11-19,6.370000,6.520000,6.370000,6.470000,5.290177,685120
2012-11-20,6.470000,6.520000,6.270000,6.270000,5.126648,863085
2012-11-21,6.310000,6.400000,6.200000,6.320000,5.167530,635071
2012-11-22,6.400000,6.590000,6.350000,6.560000,5.363765,876177
2012-11-23,6.550000,6.580000,6.420000,6.520000,5.331059,496068
2012-11-26,6.540000,6.630000,6.510000,6.540000,5.347412,565634
2012-11-27,6.590000,6.670000,6.510000,6.520000,5.331059,559131
2012-11-28,6.480000,6.480000,6.270000,6.360000,5.200236,589651
2012-11-29,6.380000,6.580000,6.370000,6.520000,5.331059,494651
2012-11-30,6.590000,6.590000,6.470000,6.540000,5.347412,462473
2012-12-03,6.600000,6.650000,6.480000,6.570000,5.371942,760975
2012-12-04,6.510000,6.580000,6.490000,6.520000,5.331059,605702
2012-12-05,6.500000,6.660000,6.500000,6.650000,5.437354,692969
2012-12-06,6.670000,6.950000,6.670000,6.910000,5.649941,1410812
2012-12-07,6.910000,7.090000,6.910000,7.070000,5.780766,1547473
2012-12-10,7.050000,7.050000,6.860000,7.030000,5.748060,399552
2012-12-11,7.020000,7.130000,6.910000,7.120000,5.821648,892876
2012-12-12,7.120000,7.130000,7.020000,7.080000,5.788942,602868
2012-12-13,7.030000,7.200000,6.970000,7.150000,5.846177,786778
2012-12-14,7.100000,7.140000,7.040000,7.120000,5.821648,507758
2012-12-17,6.950000,7.150000,6.950000,7.120000,5.821648,556917
2012-12-18,7.100000,7.200000,7.050000,7.110000,5.813471,753642
2012-12-19,7.100000,7.150000,7.000000,7.120000,5.821648,650885
2012-12-20,7.030000,7.190000,7.030000,7.150000,5.846177,718353
2012-12-21,7.170000,7.170000,6.970000,7.070000,5.780766,967115
2012-12-27,7.150000,7.160000,7.010000,7.060000,5.772589,344085
2012-12-28,7.080000,7.080000,6.900000,6.930000,5.666294,443485
2013-01-03,7.040000,7.170000,6.950000,7.110000,5.813471,953229
2013-01-04,7.150000,7.350000,7.100000,7.250000,5.927942,1010048
2013-01-07,7.250000,7.300000,7.100000,7.150000,5.846177,1189752
2013-01-08,7.130000,7.150000,6.950000,6.970000,5.699001,980739
2013-01-09,7.040000,7.060000,6.870000,7.000000,5.723531,1612310
2013-01-10,6.980000,7.040000,6.810000,7.000000,5.723531,1921979
2013-01-11,7.000000,7.050000,6.900000,6.970000,5.699001,943143
2013-01-14,7.100000,7.270000,7.070000,7.220000,5.903412,1926039
2013-01-15,7.110000,7.120000,6.880000,6.900000,5.641765,2328006
2013-01-16,6.870000,6.920000,6.670000,6.750000,5.519118,1776137
2013-01-17,6.760000,6.860000,6.710000,6.830000,5.584530,1429082
2013-01-18,6.830000,6.850000,6.770000,6.800000,5.560000,1080828
2013-01-21,6.770000,6.890000,6.700000,6.790000,5.551824,764585
2013-01-22,6.750000,6.810000,6.710000,6.750000,5.519118,681410
2013-01-23,6.700000,7.350000,6.690000,7.200000,5.887059,3554560
2013-01-24,6.520000,6.760000,6.290000,6.510000,5.322883,6040605
2013-01-25,6.460000,6.520000,6.390000,6.410000,5.241117,1771157
2013-01-28,6.440000,6.450000,6.250000,6.350000,5.192059,1640027
2013-01-29,6.350000,6.350000,6.260000,6.310000,5.159354,803944
2013-01-30,6.270000,6.310000,6.150000,6.230000,5.093942,1182186
2013-01-31,6.200000,6.250000,6.080000,6.120000,5.004001,1444326
2013-02-01,6.070000,6.250000,6.030000,6.180000,5.053059,2444556
2013-02-04,6.240000,6.270000,6.150000,6.160000,5.036706,658841
2013-02-05,6.180000,6.240000,6.080000,6.140000,5.020353,1104271
2013-02-06,6.220000,6.310000,6.190000,6.280000,5.134824,1510458
2013-02-07,6.230000,6.270000,6.160000,6.200000,5.069412,779220
2013-02-08,6.280000,6.300000,6.150000,6.230000,5.093942,941972
2013-02-11,6.250000,6.290000,6.230000,6.280000,5.134824,335213
2013-02-12,6.260000,6.290000,6.250000,6.270000,5.126648,256381
2013-02-13,6.290000,6.450000,6.240000,6.390000,5.224765,934296
2013-02-14,6.430000,6.710000,6.380000,6.640000,5.429176,2283165
2013-02-15,6.660000,6.750000,6.580000,6.700000,5.478235,1404057
2013-02-18,6.710000,6.770000,6.630000,6.690000,5.470059,788950
2013-02-19,6.710000,6.750000,6.640000,6.710000,5.486413,684850
2013-02-20,6.760000,6.760000,6.580000,6.610000,5.404647,723092
2013-02-21,6.530000,6.560000,6.300000,6.320000,5.167530,1269163
2013-02-22,6.330000,6.480000,6.330000,6.440000,5.265647,495740
2013-02-25,6.480000,6.580000,6.440000,6.460000,5.282000,491022
2013-02-26,6.440000,6.460000,6.330000,6.410000,5.241117,604547
2013-02-27,6.420000,6.430000,6.260000,6.360000,5.200236,780070
2013-02-28,6.400000,6.400000,6.280000,6.330000,5.175706,771585
2013-03-01,6.460000,6.590000,6.380000,6.410000,5.241117,1150729
2013-03-04,6.380000,6.380000,6.210000,6.220000,5.085765,659461
2013-03-05,6.280000,6.410000,6.280000,6.400000,5.232941,716233
2013-03-06,6.420000,6.440000,6.270000,6.400000,5.232941,918726
2013-03-07,6.400000,6.440000,6.350000,6.380000,5.216588,655168
2013-03-08,6.380000,6.430000,6.370000,6.410000,5.241117,454987
2013-03-11,6.480000,6.480000,6.360000,6.440000,5.265647,686502
2013-03-12,6.470000,6.540000,6.460000,6.490000,5.306529,998862
2013-03-13,6.510000,6.540000,6.360000,6.460000,5.282000,1736278
2013-03-14,6.440000,6.500000,6.390000,6.410000,5.241117,762953
2013-03-15,6.460000,6.520000,6.390000,6.390000,5.224765,1339741
2013-03-18,6.380000,6.430000,6.290000,6.430000,5.257471,450101
2013-03-19,6.390000,6.450000,6.340000,6.370000,5.208412,313252
2013-03-20,6.380000,6.420000,6.350000,6.380000,5.216588,247070
2013-03-21,6.480000,6.490000,6.400000,6.430000,5.257471,627639
2013-03-22,6.400000,6.490000,6.360000,6.380000,5.216588,426496
2013-03-25,6.380000,6.420000,6.290000,6.320000,5.167530,597422
2013-03-26,6.350000,6.430000,6.300000,6.380000,5.216588,548016
2013-03-27,6.420000,6.450000,6.260000,6.260000,5.118471,696840
2013-03-28,6.280000,6.440000,6.280000,6.430000,5.257471,484170
2013-04-02,6.440000,6.580000,6.420000,6.530000,5.339236,674800
2013-04-03,6.570000,6.580000,6.470000,6.520000,5.331059,579393
2013-04-04,6.500000,6.570000,6.450000,6.510000,5.322883,531536
2013-04-05,6.480000,6.590000,6.410000,6.510000,5.322883,678234
2013-04-08,6.520000,6.590000,6.440000,6.480000,5.298353,282643
2013-04-09,6.430000,6.580000,6.430000,6.540000,5.347412,309713
2013-04-10,6.500000,6.620000,6.480000,6.560000,5.363765,518614
2013-04-11,6.490000,6.560000,6.360000,6.540000,5.347412,853382
2013-04-12,6.480000,6.590000,6.470000,6.570000,5.371942,607430
2013-04-15,6.570000,6.620000,6.500000,6.610000,5.404647,411570
2013-04-16,6.580000,6.760000,6.580000,6.760000,5.527295,827214
2013-04-17,6.680000,6.750000,6.560000,6.670000,5.453707,1131380
2013-04-18,6.600000,6.750000,6.600000,6.700000,5.478235,853545
2013-04-19,6.680000,6.760000,6.600000,6.700000,5.478235,908898
2013-04-22,6.700000,6.750000,6.650000,6.660000,5.445529,760796
2013-04-23,6.620000,6.740000,6.590000,6.740000,5.510942,690026
2013-04-24,6.720000,6.850000,6.650000,6.800000,5.560000,938136
2013-04-25,6.280000,6.550000,6.220000,6.300000,5.151176,2608614
2013-04-26,6.260000,6.340000,5.900000,5.950000,4.865000,2180779
2013-04-29,5.750000,5.980000,5.730000,5.920000,4.840472,1186958
2013-04-30,5.860000,5.960000,5.860000,5.920000,4.840472,828923
2013-05-02,5.870000,5.940000,5.810000,5.920000,4.840472,614936
2013-05-03,5.920000,6.070000,5.870000,6.070000,4.963119,929158
2013-05-06,6.090000,6.120000,6.010000,6.100000,4.987647,559457
2013-05-07,6.100000,6.130000,6.020000,6.100000,4.987647,600540
2013-05-08,6.050000,6.180000,6.040000,6.150000,5.028531,676328
2013-05-10,6.140000,6.210000,6.080000,6.210000,5.077589,492988
2013-05-13,6.200000,6.310000,6.150000,6.250000,5.110295,966617
2013-05-14,6.270000,6.330000,6.210000,6.250000,5.110295,828260
2013-05-15,6.290000,6.340000,6.250000,6.300000,5.151176,739822
2013-05-16,6.280000,6.350000,6.260000,6.340000,5.183883,800167
2013-05-17,6.360000,6.410000,6.270000,6.390000,5.224765,618136
2013-05-21,6.420000,6.500000,6.370000,6.440000,5.265647,958571
2013-05-22,6.420000,6.450000,6.380000,6.420000,5.249295,866266
2013-05-23,6.600000,6.770000,6.450000,6.560000,5.363765,4261458
2013-05-24,6.620000,6.670000,6.250000,6.270000,5.126648,1579971
2013-05-27,6.260000,6.260000,6.160000,6.250000,5.110295,941991
2013-05-28,6.390000,6.420000,6.290000,6.300000,5.151176,1634357
2013-05-29,6.290000,6.430000,6.240000,6.300000,5.151176,884226
2013-05-30,6.440000,6.690000,6.380000,6.590000,5.388294,1524892
2013-05-31,6.610000,6.820000,6.610000,6.650000,5.437354,1464131
2013-06-03,6.620000,6.740000,6.590000,6.640000,5.429176,459196
2013-06-04,6.680000,6.750000,6.600000,6.690000,5.470059,420067
2013-06-05,6.610000,6.690000,6.570000,6.580000,5.380118,526610
2013-06-06,6.620000,6.690000,6.520000,6.520000,5.331059,575663
2013-06-07,6.510000,6.700000,6.510000,6.620000,5.412825,529160
2013-06-10,6.610000,6.750000,6.610000,6.670000,5.453707,395080
2013-06-11,6.650000,6.700000,6.460000,6.490000,5.306529,699804
2013-06-12,6.490000,6.520000,6.310000,6.360000,5.200236,850932
2013-06-13,6.330000,6.340000,6.260000,6.280000,5.134824,448972
2013-06-14,6.420000,6.460000,6.320000,6.370000,5.208412,877475
2013-06-17,6.440000,6.490000,6.320000,6.460000,5.282000,652717
2013-06-18,6.380000,6.410000,6.300000,6.350000,5.192059,648417
2013-06-19,6.340000,6.390000,6.290000,6.350000,5.192059,586507
2013-06-20,6.300000,6.430000,6.300000,6.350000,5.192059,610330
2013-06-21,6.310000,6.430000,6.260000,6.370000,5.208412,1793891
2013-06-24,6.300000,6.410000,6.250000,6.340000,5.183883,598438
2013-06-25,6.340000,6.380000,6.250000,6.300000,5.151176,565078
2013-06-26,6.360000,6.440000,6.330000,6.360000,5.200236,565948
2013-06-27,6.360000,6.430000,6.300000,6.310000,5.159354,675423
2013-06-28,6.370000,6.510000,6.370000,6.510000,5.322883,976972
2013-07-01,6.500000,6.650000,6.500000,6.620000,5.412825,839505
2013-07-02,6.560000,6.660000,6.530000,6.650000,5.437354,329211
2013-07-03,6.590000,6.630000,6.500000,6.510000,5.322883,545148
2013-07-04,6.600000,6.620000,6.510000,6.620000,5.412825,283541
2013-07-05,6.650000,6.650000,6.580000,6.600000,5.396471,556829
2013-07-08,6.640000,6.640000,6.510000,6.510000,5.322883,403338
2013-07-09,6.600000,6.600000,6.360000,6.390000,5.224765,637150
2013-07-10,6.420000,6.430000,6.310000,6.360000,5.200236,348501
2013-07-11,6.400000,6.400000,6.290000,6.310000,5.159354,1102349
2013-07-12,6.290000,6.370000,6.270000,6.300000,5.151176,899502
2013-07-15,6.280000,6.380000,6.270000,6.330000,5.175706,539356
2013-07-16,6.310000,6.340000,6.290000,6.330000,5.175706,310152
2013-07-17,6.320000,6.400000,6.280000,6.370000,5.208412,686167
2013-07-18,6.350000,6.390000,6.340000,6.370000,5.208412,447701
2013-07-19,6.370000,6.370000,6.270000,6.290000,5.143001,443980
2013-07-22,6.300000,6.320000,6.210000,6.260000,5.118471,519688
2013-07-23,6.260000,6.290000,6.170000,6.210000,5.077589,743120
2013-07-24,6.210000,6.230000,6.130000,6.140000,5.020353,788468
2013-07-25,6.700000,6.980000,6.660000,6.670000,5.453707,8327356
2013-07-26,6.710000,6.710000,6.570000,6.600000,5.396471,1739680
2013-07-29,6.580000,6.710000,6.530000,6.660000,5.445529,1310368
2013-07-30,6.670000,6.700000,6.580000,6.680000,5.461882,1469567
2013-07-31,6.690000,6.710000,6.590000,6.590000,5.388294,1422809
2013-08-02,6.660000,6.690000,6.550000,6.550000,5.355589,1045613
2013-08-05,6.620000,6.670000,6.560000,6.670000,5.453707,1455090
2013-08-06,6.690000,6.780000,6.610000,6.680000,5.461882,1118968
2013-08-07,6.700000,6.710000,6.640000,6.660000,5.445529,1151182
2013-08-08,6.700000,6.730000,6.610000,6.730000,5.502765,1090068
2013-08-09,6.750000,6.880000,6.710000,6.850000,5.600883,1515385
2013-08-12,6.840000,6.930000,6.750000,6.930000,5.666294,661213
2013-08-13,6.920000,6.940000,6.850000,6.880000,5.625412,1057903
2013-08-14,6.890000,6.920000,6.840000,6.870000,5.617236,1068349
2013-08-15,6.850000,6.900000,6.710000,6.800000,5.560000,759343
2013-08-16,6.780000,6.780000,6.640000,6.670000,5.453707,638983
2013-08-19,6.700000,6.720000,6.620000,6.710000,5.486413,527012
2013-08-20,6.710000,6.710000,6.580000,6.650000,5.437354,643975
2013-08-21,6.630000,6.650000,6.600000,6.650000,5.437354,320103
2013-08-22,6.670000,6.780000,6.630000,6.730000,5.502765,1040570
2013-08-23,6.760000,6.910000,6.680000,6.870000,5.617236,1300487
2013-08-26,6.900000,7.300000,6.860000,7.100000,5.805294,2774593
2013-08-27,7.100000,7.110000,6.980000,6.980000,5.707177,826152
2013-08-28,6.980000,6.980000,6.820000,6.920000,5.658119,599122
2013-08-29,6.900000,6.940000,6.830000,6.880000,5.625412,567635
2013-08-30,6.830000,6.900000,6.780000,6.810000,5.568177,876014
2013-09-02,6.940000,7.150000,6.930000,7.100000,5.805294,1032624
2013-09-03,7.180000,7.380000,7.170000,7.340000,6.001530,2720782
2013-09-04,7.450000,7.590000,7.370000,7.370000,6.026059,3731898
2013-09-05,7.390000,7.690000,7.380000,7.600000,6.214118,2868431
2013-09-06,7.620000,7.660000,7.430000,7.560000,6.181412,1353241
2013-09-09,7.540000,7.690000,7.520000,7.630000,6.238648,1945286
2013-09-10,7.710000,8.100000,7.630000,7.990000,6.533000,5601338
2013-09-11,7.980000,8.020000,7.860000,7.860000,6.426707,1957226
2013-09-12,7.710000,7.950000,7.690000,7.910000,6.645131,1723530
2013-09-13,7.880000,7.900000,7.810000,7.870000,6.611526,769059
2013-09-16,7.950000,7.950000,7.790000,7.840000,6.586324,892875
2013-09-17,7.810000,7.850000,7.740000,7.770000,6.527517,777394
2013-09-18,7.760000,7.850000,7.740000,7.770000,6.527517,582872
2013-09-19,7.840000,7.870000,7.660000,7.680000,6.451910,548480
2013-09-20,7.700000,7.740000,7.650000,7.700000,6.468711,500010
2013-09-23,7.640000,7.700000,7.580000,7.580000,6.367900,1240396
2013-09-24,7.570000,7.650000,7.510000,7.510000,6.309094,499545
2013-09-25,7.590000,7.740000,7.540000,7.670000,6.443508,508159
2013-09-26,7.700000,8.080000,7.700000,8.050000,6.762743,1893890
2013-09-27,8.200000,8.260000,8.010000,8.010000,6.729140,1251285
2013-09-30,7.910000,8.030000,7.880000,7.960000,6.687135,1272296
2013-10-01,8.020000,8.020000,7.900000,7.930000,6.661932,753577
2013-10-02,7.930000,8.040000,7.930000,8.030000,6.745941,1929778
2013-10-03,8.050000,8.200000,8.030000,8.150000,6.846752,962225
2013-10-04,8.130000,8.250000,8.100000,8.250000,6.930762,784165
2013-10-07,8.290000,8.290000,8.120000,8.230000,6.913960,593749
2013-10-08,8.190000,8.360000,8.170000,8.340000,7.006370,1368558
2013-10-09,8.310000,8.350000,8.230000,8.230000,6.913960,978731
2013-10-10,8.270000,8.450000,8.250000,8.400000,7.056775,1092893
2013-10-11,8.460000,8.550000,8.450000,8.530000,7.165987,915446
2013-10-14,8.510000,8.550000,8.410000,8.530000,7.165987,649750
2013-10-15,8.560000,8.570000,8.450000,8.520000,7.157588,780536
2013-10-16,8.460000,8.480000,8.270000,8.350000,7.014771,807707
2013-10-17,8.370000,8.390000,7.970000,8.070000,6.779545,1850521
2013-10-18,8.010000,8.160000,7.920000,8.010000,6.729140,1319909
2013-10-21,7.990000,8.220000,7.990000,8.140000,6.838351,1058395
2013-10-22,8.110000,8.180000,8.020000,8.040000,6.754343,1004117
2013-10-23,8.420000,8.540000,8.270000,8.420000,7.073577,2472162
2013-10-24,8.860000,9.440000,8.760000,9.160000,7.695247,7261986
2013-10-25,9.150000,9.320000,9.070000,9.200000,7.728849,1535159
2013-10-28,9.200000,9.220000,8.860000,9.000000,7.560831,1427332
2013-10-29,8.920000,9.080000,8.900000,9.000000,7.560831,900374
2013-10-30,9.020000,9.140000,8.990000,9.090000,7.636439,817931
2013-10-31,9.080000,9.300000,9.060000,9.290000,7.804458,1316495
2013-11-01,9.320000,9.420000,9.290000,9.350000,7.854864,1211724
2013-11-04,9.330000,9.440000,9.260000,9.350000,7.854864,766212
2013-11-05,9.250000,9.340000,9.110000,9.280000,7.796056,1199698
2013-11-06,9.300000,9.420000,9.230000,9.250000,7.770854,568752
2013-11-07,9.300000,9.390000,9.270000,9.380000,7.880065,757263
2013-11-08,9.360000,9.430000,9.310000,9.400000,7.896869,752790
2013-11-11,9.450000,9.730000,9.410000,9.690000,8.140493,1301756
