Date,Open,High,Low,Close,Adj Close,Volume
2012-09-03,49.724461,49.989658,49.680260,49.945457,34.006123,2188122
2012-09-04,50.033855,50.078056,49.238266,49.459263,33.675098,4124232
2012-09-05,49.459263,50.210655,49.415062,50.078056,34.096416,6210738
2012-09-06,50.078056,50.652649,50.033855,50.475853,34.367260,4026724
2012-09-07,50.564251,50.785248,49.901257,50.033855,34.066319,6017780
2012-09-10,49.857059,49.945457,49.459263,49.591862,33.765377,4079249
2012-09-11,49.415062,49.636063,49.238266,49.547661,33.735283,4326310
2012-09-12,49.415062,49.503464,49.017265,49.238266,33.524632,4869204
2012-09-13,49.194065,49.636063,49.194065,49.459263,33.675098,4296772
2012-09-14,49.768658,49.768658,48.928867,49.149864,33.464439,7145856
2012-09-17,49.105667,49.503464,49.017265,49.149864,33.464439,4750510
2012-09-18,49.282463,49.459263,49.105667,49.238266,33.524632,5164151
2012-09-19,49.326664,49.636063,49.326664,49.547661,33.735283,6453963
2012-09-20,49.459263,49.945457,49.459263,49.812859,33.915844,4872024
2012-09-21,50.078056,50.564251,49.945457,50.564251,34.427444,18130414
2012-09-24,50.829449,51.050446,50.696850,50.873646,34.638103,6021334
2012-09-25,50.829449,51.094646,50.696850,50.962048,34.698292,3999480
2012-09-26,51.006245,51.138844,50.652649,50.741051,34.547821,4509295
2012-09-27,50.829449,51.183044,50.785248,50.873646,34.638103,4259011
2012-09-28,51.050446,51.183044,50.873646,50.873646,34.638103,6251685
2012-10-01,50.785248,51.492439,50.741051,51.492439,35.059414,5023338
2012-10-02,51.271442,51.669239,51.183044,51.359840,34.969139,3256362
2012-10-03,51.404041,51.448242,51.227242,51.315643,34.939041,2467247
2012-10-04,51.359840,51.536640,51.138844,51.448242,35.029327,4014808
2012-10-05,51.580841,51.801838,51.492439,51.625038,35.149700,3142756
2012-10-08,51.492439,51.846039,51.271442,51.713436,35.209888,3789640
2012-10-09,51.846039,51.934437,51.580841,51.580841,35.119606,3791087
2012-10-10,51.580841,51.625038,51.183044,51.227242,34.878853,2659606
2012-10-11,51.183044,51.359840,50.873646,51.006245,34.728378,2647908
2012-10-12,51.050446,51.094646,50.829449,50.962048,34.698292,3238709
2012-10-15,50.785248,51.448242,50.785248,51.359840,34.969139,2664616
2012-10-16,51.492439,51.890236,51.448242,51.801838,35.270081,4115696
2012-10-17,51.757637,52.022835,51.713436,51.846039,35.300167,2953485
2012-10-18,51.978634,52.332230,51.890236,52.155434,35.510826,4094744
2012-10-19,52.243832,52.553230,51.801838,52.067036,35.450642,4917732
2012-10-22,51.978634,52.022835,51.801838,51.846039,35.300167,2420678
2012-10-23,51.801838,51.846039,50.873646,50.917847,34.668198,5623341
2012-10-24,51.094646,51.094646,50.564251,50.564251,34.427444,5025957
2012-10-25,50.210655,50.475853,50.078056,50.210655,34.186691,4558722
2012-10-26,50.166454,50.343254,49.945457,50.254852,34.216782,3454652
2012-10-29,50.078056,50.254852,49.945457,50.210655,34.186691,3339210
2012-10-30,50.033855,50.299053,49.901257,49.901257,33.976036,3401140
2012-10-31,49.768658,49.989658,49.547661,49.547661,33.735283,5058216
2012-11-01,49.503464,50.166454,49.194065,50.166454,34.156601,4326189
2012-11-02,49.989658,50.696850,49.901257,50.696850,34.517727,4622593
2012-11-05,50.520050,50.608452,50.166454,50.387451,34.307068,3884242
2012-11-06,50.254852,50.343254,49.857059,50.210655,34.186691,4184106
2012-11-07,50.387451,50.917847,49.945457,49.989658,34.036224,4564987
2012-11-08,50.254852,50.741051,50.078056,50.387451,34.307068,5278263
2012-11-09,50.475853,50.829449,50.387451,50.785248,34.577915,3699123
2012-11-12,50.873646,50.962048,50.299053,50.343254,34.276974,3980669
2012-11-13,50.210655,50.696850,50.122253,50.564251,34.427444,3058026
2012-11-14,50.387451,50.475853,49.989658,50.166454,34.156601,3539143
2012-11-15,49.945457,49.945457,49.238266,49.326664,33.584820,5144049
2012-11-16,49.061466,49.503464,48.928867,49.149864,33.464439,5489871
2012-11-19,49.415062,49.680260,49.105667,49.370865,33.614910,4250291
2012-11-20,49.238266,49.370865,48.796268,49.017265,33.374161,4792557
2012-11-21,49.017265,49.370865,49.017265,49.194065,33.494534,3211737
2012-11-22,49.326664,49.812859,49.194065,49.591862,33.765377,4017726
2012-11-23,49.636063,49.901257,49.591862,49.812859,33.915844,2351281
2012-11-26,49.812859,49.812859,49.503464,49.547661,33.735283,2983206
2012-11-27,49.680260,50.122253,49.680260,50.033855,34.066319,4985672
2012-11-28,49.989658,50.387451,49.945457,50.343254,34.276974,4421770
2012-11-29,50.431652,50.962048,50.387451,50.962048,34.698292,5100119
2012-11-30,50.829449,51.094646,50.696850,50.696850,34.517727,4785318
