date,open,high,low,close,volume,currency
2017-09-05,303.7,324.37,275.97,317.94,285969365.42,Ethereum
2017-09-06,317.94,341.77,317.82,338.92,207751167.29,Ethereum
2017-09-07,338.92,338.92,323.36,335.37,145609934.39,Ethereum
2017-09-08,335.37,335.39,293.12,306.72,307973324.88,Ethereum
2017-09-09,306.72,309.07,293.71,303.79,127930167.28,Ethereum
2017-09-10,303.79,305.76,280.7,299.21,179819553.2,Ethereum
2017-09-11,299.21,308.3,288.6,297.95,149130023.67,Ethereum
2017-09-12,297.95,316.38,285.75,294.1,212949898.74,Ethereum
2017-09-13,294.1,294.39,257.16,275.84,328829086.33,Ethereum
2017-09-14,275.84,280.65,222.06,223.14,448360655.12,Ethereum
2017-09-15,223.14,267.7,200.75,259.57,601118554.63,Ethereum
2017-09-16,259.57,272.43,245.74,254.49,213735353.14,Ethereum
2017-09-17,254.49,265.78,239.98,258.4,129073620.3,Ethereum
2017-09-18,258.4,300.69,258.36,297.53,316944028.29,Ethereum
2017-09-19,297.53,299.91,275.94,283.0,211173075.81,Ethereum
2017-09-20,283.0,293.74,277.72,283.56,119360306.75,Ethereum
2017-09-21,283.56,287.13,252.22,257.77,213821119.8,Ethereum
2017-09-22,257.77,270.74,254.28,262.94,128332019.33,Ethereum
2017-09-23,262.94,286.72,259.58,286.14,111790766.56,Ethereum
2017-09-24,286.14,294.54,276.25,282.6,129812958.5,Ethereum
2017-09-25,282.6,297.01,282.48,294.89,125825077.84,Ethereum
2017-09-26,294.89,295.89,287.01,288.64,77729398.68,Ethereum
2017-09-27,288.64,312.64,287.83,309.97,155862803.45,Ethereum
2017-09-28,309.97,310.24,298.18,302.77,116142194.54,Ethereum
2017-09-29,302.77,303.54,279.79,292.58,189289895.65,Ethereum
2017-09-30,292.58,305.91,292.32,302.77,82819424.09,Ethereum
2017-10-01,302.77,304.79,295.44,303.95,66161942.23,Ethereum
2017-10-02,303.95,304.13,293.34,296.81,87144370.37,Ethereum
2017-10-03,296.81,299.92,286.86,291.81,88276884.19,Ethereum
2017-10-04,291.81,295.57,288.56,291.68,67580849.1,Ethereum
