date,open,high,low,close,volume,currency
2017-09-05,0.0,0.0,0.0,0.0,0.0,Chainlink
2017-09-06,0.0,0.0,0.0,0.0,0.0,Chainlink
2017-09-07,0.0,0.0,0.0,0.0,0.0,Chainlink
2017-09-08,0.0,0.0,0.0,0.0,0.0,Chainlink
2017-09-09,0.0,0.0,0.0,0.0,0.0,Chainlink
2017-09-10,0.0,0.0,0.0,0.0,0.0,Chainlink
2017-09-11,0.0,0.0,0.0,0.0,0.0,Chainlink
2017-09-12,0.0,0.0,0.0,0.0,0.0,Chainlink
2017-09-13,0.0,0.0,0.0,0.0,0.0,Chainlink
2017-09-14,0.0,0.0,0.0,0.0,0.0,Chainlink
2017-09-15,0.0,0.0,0.0,0.0,0.0,Chainlink
2017-09-16,0.0,0.0,0.0,0.0,0.0,Chainlink
2017-09-17,0.0,0.0,0.0,0.0,0.0,Chainlink
2017-09-18,0.0,0.0,0.0,0.0,0.0,Chainlink
2017-09-19,0.0,0.0,0.0,0.0,0.0,Chainlink
2017-09-20,0.0,0.0,0.0,0.0,0.0,Chainlink
2017-09-21,0.2098,513993.38,2.6e-07,0.1727,783565.82,Chainlink
2017-09-22,0.1727,226391.34,0.1315,0.1578,791697.14,Chainlink
2017-09-23,0.1578,1877078.4,0.1145,0.1335,585249.15,Chainlink
2017-09-24,0.1335,1469520.0,0.02049,0.1696,732938.98,Chainlink
2017-09-25,0.1696,5131086.0,0.1495,0.1784,579653.91,Chainlink
2017-09-26,0.1784,4362504.96,0.1714,0.1951,537161.51,Chainlink
2017-09-27,0.1951,0.403,0.1882,0.1922,612299.06,Chainlink
2017-09-28,0.1922,4451230.68,0.1817,0.2433,1949397.14,Chainlink
2017-09-29,0.2433,4063011.65,0.2191,0.3183,3971335.29,Chainlink
2017-09-30,0.3183,0.4493,0.3049,0.4493,7901643.66,Chainlink
2017-10-01,0.4493,22464.94,0.3845,0.4365,3268596.65,Chainlink
2017-10-02,0.4365,64.35,0.3532,0.3574,2419449.86,Chainlink
2017-10-03,0.3574,0.3688,0.2798,0.3455,3346457.59,Chainlink
2017-10-04,0.3455,11002.17,0.3354,0.392,2717316.47,Chainlink
2017-10-05,0.392,14720.0,0.3864,0.405,2002307.99,Chainlink
2017-10-06,0.405,64172.72,0.4002,0.468,4112236.19,Chainlink
2017-10-07,0.468,4644.0,0.4227,0.4635,2252211.57,Chainlink
2017-10-08,0.4635,0.4757,0.3522,0.3974,2459140.99,Chainlink
2017-10-09,0.3974,0.4309,0.3531,0.3786,2120127.2,Chainlink
2017-10-10,0.3786,0.4307,0.3561,0.411,2008393.56,Chainlink
2017-10-11,0.411,29577.31,0.4089,0.4491,2124863.14,Chainlink
2017-10-12,0.4491,38609.39,0.4162,0.4416,3198037.25,Chainlink
2017-10-13,0.4416,636.61,0.4096,0.4335,2918854.52,Chainlink
2017-10-14,0.4335,0.4537,0.3896,0.3896,1420248.19,Chainlink
2017-10-15,0.3896,0.4312,0.3531,0.4137,1672442.2,Chainlink
2017-10-16,0.4137,0.5157,0.3713,0.4245,4243911.29,Chainlink
2017-10-17,0.4245,3.636,0.355,0.4028,2058284.53,Chainlink
2017-10-18,0.4028,0.4139,0.3339,0.3662,2058978.79,Chainlink
2017-10-19,0.3662,25518.1,0.2929,0.2998,2446907.01,Chainlink
2017-10-20,0.2998,120025.74,0.2153,0.2245,2629852.16,Chainlink
2017-10-21,0.2245,37.38,0.196,0.2512,1924915.54,Chainlink
2017-10-22,0.2533,19.84,0.2394,0.2646,1241901.78,Chainlink
2017-10-23,0.2646,73174.61,0.2306,0.2414,1063056.18,Chainlink
2017-10-24,0.2414,15.76,0.25,0.2541,1000571.08,Chainlink
2017-10-25,0.2541,0.2583,0.234,0.2527,813080.45,Chainlink
2017-10-26,0.2525,0.2535,0.2255,0.227,585956.4,Chainlink
2017-10-27,0.227,0.2356,0.2193,0.227,583053.3,Chainlink
2017-10-28,0.227,0.2251,0.1966,0.2053,519464.48,Chainlink
2017-10-29,0.2053,0.2197,0.1861,0.1981,769306.84,Chainlink
2017-10-30,0.1981,0.2128,0.1887,0.2086,476630.55,Chainlink
2017-10-31,0.2086,0.2234,0.1822,0.1904,638145.42,Chainlink
2017-11-01,0.1904,0.2591,0.1482,0.1595,835003.86,Chainlink
2017-11-02,0.1595,886.1,0.1372,0.164,1141144.05,Chainlink
2017-11-03,0.164,0.1948,0.1631,0.1682,736188.1,Chainlink
2017-11-04,0.1682,0.1863,0.1609,0.1761,613612.3,Chainlink
2017-11-05,0.1761,0.1813,0.1689,0.1747,258131.46,Chainlink
2017-11-06,0.1747,0.1759,0.1558,0.1677,449247.9,Chainlink
2017-11-07,0.1677,0.178,0.1597,0.1776,410860.49,Chainlink
2017-11-08,0.1776,0.2894,0.1749,0.2185,1911502.75,Chainlink
2017-11-09,0.2185,0.2445,0.2021,0.2222,1011401.69,Chainlink
2017-11-10,0.2222,0.2137,0.1795,0.1856,683367.3,Chainlink
2017-11-11,0.1856,0.2028,0.1662,0.1813,718773.04,Chainlink
2017-11-12,0.1813,0.1975,0.1503,0.1683,2195055.94,Chainlink
2017-11-13,0.1683,0.2108,0.173,0.1837,969050.69,Chainlink
2017-11-14,0.1837,0.2092,0.1741,0.188,817114.21,Chainlink
2017-11-15,0.188,0.1896,0.1727,0.1828,489187.38,Chainlink
2017-11-16,0.1828,0.1882,0.161,0.1685,664411.4,Chainlink
2017-11-17,0.1685,0.1724,0.1526,0.1561,893301.82,Chainlink
2017-11-18,0.1561,0.1796,0.1594,0.1727,751318.08,Chainlink
2017-11-19,0.1727,0.1771,0.1464,0.1591,499192.86,Chainlink
