date,open,high,low,close,volume,currency
2017-09-05,68.89,74.69,63.29,73.73,137991645.49,Litecoin
2017-09-06,73.73,82.17,73.69,81.44,147734449.3,Litecoin
2017-09-07,81.44,82.84,77.4,80.25,96855844.67,Litecoin
2017-09-08,80.25,82.2,68.42,73.19,187197024.21,Litecoin
2017-09-09,73.19,73.95,69.0,71.09,76615292.0,Litecoin
2017-09-10,71.09,71.11,63.33,67.08,105909535.34,Litecoin
2017-09-11,67.08,71.21,65.55,68.13,73656622.48,Litecoin
2017-09-12,68.13,71.97,64.72,65.89,97264307.0,Litecoin
2017-09-13,65.89,66.34,57.87,61.78,140918803.14,Litecoin
2017-09-14,61.78,62.66,44.9,45.2,205038177.61,Litecoin
2017-09-15,45.2,55.65,33.38,52.0,343835193.01,Litecoin
2017-09-16,52.0,57.34,50.54,52.1,120177655.47,Litecoin
2017-09-17,52.1,53.18,47.73,51.0,73060667.9,Litecoin
2017-09-18,51.0,57.49,50.98,56.16,111381221.66,Litecoin
2017-09-19,56.16,56.7,51.27,52.8,89515520.8,Litecoin
2017-09-20,52.8,54.37,51.07,51.56,46361439.88,Litecoin
2017-09-21,51.56,52.48,45.11,46.46,100420510.01,Litecoin
2017-09-22,46.46,49.03,44.8,47.67,76916515.52,Litecoin
2017-09-23,47.67,50.01,46.38,49.29,44793106.02,Litecoin
2017-09-24,49.29,49.4,47.18,47.5,29589565.36,Litecoin
2017-09-25,47.5,53.16,47.47,52.27,66087743.34,Litecoin
2017-09-26,52.27,54.37,51.42,52.27,48431172.1,Litecoin
2017-09-27,52.27,57.39,52.24,56.9,75024623.22,Litecoin
2017-09-28,56.9,57.16,54.0,54.91,64516773.54,Litecoin
2017-09-29,54.91,54.93,50.44,52.8,64227763.47,Litecoin
2017-09-30,52.8,55.91,52.75,55.41,36860837.86,Litecoin
2017-10-01,55.41,55.55,53.58,54.8,30401267.37,Litecoin
2017-10-02,54.8,54.97,52.93,53.29,30684048.14,Litecoin
2017-10-03,53.29,53.54,51.34,52.15,30707803.26,Litecoin
2017-10-04,52.15,52.98,50.53,51.22,31053173.59,Litecoin
2017-10-05,51.22,51.87,50.17,51.64,26593841.05,Litecoin
2017-10-06,51.64,52.75,51.34,52.08,21668387.99,Litecoin
2017-10-07,52.08,52.9,51.61,52.57,19001783.55,Litecoin
2017-10-08,52.57,54.79,52.32,53.3,36217438.71,Litecoin
2017-10-09,53.3,53.44,48.12,50.08,54786620.31,Litecoin
2017-10-10,50.08,51.63,49.69,50.58,31741909.99,Litecoin
2017-10-11,50.58,51.05,50.18,50.79,19957142.12,Litecoin
2017-10-12,50.79,59.72,50.73,59.72,121666559.46,Litecoin
2017-10-13,59.72,60.76,55.11,59.05,122355541.45,Litecoin
2017-10-14,59.05,66.48,58.34,63.94,111286807.31,Litecoin
2017-10-15,63.94,69.95,62.08,65.57,136097133.07,Litecoin
2017-10-16,65.58,66.41,62.28,64.76,57750104.01,Litecoin
2017-10-17,64.76,64.97,58.5,59.19,62123185.52,Litecoin
2017-10-18,59.19,61.89,53.05,60.55,98042683.55,Litecoin
2017-10-19,60.55,61.39,58.35,59.68,59145290.66,Litecoin
2017-10-20,59.68,62.17,58.31,60.09,55677469.84,Litecoin
2017-10-21,60.08,60.36,56.17,58.09,47776832.14,Litecoin
2017-10-22,58.09,58.67,55.73,56.51,30628993.59,Litecoin
2017-10-23,56.52,56.57,51.92,54.63,63386543.19,Litecoin
2017-10-24,54.63,58.98,52.35,55.56,69816687.74,Litecoin
2017-10-25,55.56,56.4,53.52,56.19,36591936.46,Litecoin
2017-10-26,56.19,56.95,54.9,55.55,25040264.66,Litecoin
2017-10-27,55.55,55.99,54.69,55.02,19515585.36,Litecoin
2017-10-28,55.02,55.79,53.95,54.22,16837184.69,Litecoin
2017-10-29,54.22,57.83,53.86,56.75,41624090.91,Litecoin
2017-10-30,56.75,58.66,55.81,56.22,32778628.05,Litecoin
2017-10-31,56.22,56.74,55.49,55.5,24119437.14,Litecoin
2017-11-01,55.5,55.62,52.72,52.83,34633306.9,Litecoin
2017-11-02,52.82,54.9,50.03,54.19,68822709.59,Litecoin
2017-11-03,54.19,56.13,53.79,55.98,44375580.1,Litecoin
2017-11-04,55.98,56.12,54.62,54.83,23813377.86,Litecoin
2017-11-05,54.84,55.45,54.43,54.6,22789832.45,Litecoin
2017-11-06,54.6,55.79,53.43,54.5,35930222.15,Litecoin
2017-11-07,54.5,63.49,54.47,60.52,117999766.44,Litecoin
2017-11-08,60.52,64.07,59.59,62.38,119045612.63,Litecoin
2017-11-09,62.38,66.9,61.59,64.15,96467373.94,Litecoin
2017-11-10,64.15,65.75,56.02,58.99,112277387.44,Litecoin
2017-11-11,59.07,63.77,58.64,62.14,71691165.51,Litecoin
2017-11-12,62.14,62.26,56.73,58.54,90545722.68,Litecoin
2017-11-13,58.53,61.84,58.07,61.0,63578216.42,Litecoin
2017-11-14,61.0,63.41,60.12,62.13,57740143.26,Litecoin
2017-11-15,62.13,76.1,62.08,63.16,62683272.43,Litecoin
2017-11-16,63.15,72.5,62.5,70.7,108893924.78,Litecoin
2017-11-17,70.7,71.29,65.33,67.36,117701637.06,Litecoin
2017-11-18,67.36,69.77,65.41,69.42,54642292.94,Litecoin
2017-11-19,69.42,73.24,68.47,71.76,77870138.77,Litecoin
2017-11-20,71.76,73.16,70.9,72.38,70492845.22,Litecoin
