date,open,high,low,close,volume,currency
2017-09-05,1.04,1.05,1.01,1.02,1361171.09,Tether
2017-09-06,1.02,1.04,1.02,1.02,797933.7,Tether
2017-09-07,1.02,1.02,1.01,1.01,637004.56,Tether
2017-09-08,0.9886,1.097,0.9643,1.01,182164.42,Tether
2017-09-09,1.01,1.033,0.9824,1.018,78444.84,Tether
2017-09-10,1.018,1.05,0.9756,1.027,111032.61,Tether
2017-09-11,1.027,1.037,0.9826,1.002,88972.12,Tether
2017-09-12,1.002,1.054,0.9788,0.999,106932.41,Tether
2017-09-13,0.999,1.059,0.9517,0.9817,183120.95,Tether
2017-09-14,0.9817,1.232,1.009,1.017,322902.46,Tether
2017-09-15,1.017,1.034,0.8055,1.004,450276.03,Tether
2017-09-16,1.004,1.048,0.9561,0.9957,168640.8,Tether
2017-09-17,0.9957,1.026,0.9423,0.9974,95821.36,Tether
2017-09-18,0.9974,1.022,0.9142,1.016,150308.39,Tether
2017-09-19,1.016,1.054,0.9852,0.9994,123145.17,Tether
2017-09-20,0.9994,1.039,0.9864,0.9954,86249.25,Tether
2017-09-21,0.9954,1.084,0.9906,1.002,145400.53,Tether
2017-09-22,1.002,1.044,0.9749,1.001,114874.96,Tether
2017-09-23,1.001,1.009,0.9428,1.002,67976.98,Tether
2017-09-24,1.002,1.036,0.993,1.002,49769.24,Tether
2017-09-25,1.002,1.013,0.9351,1.003,100519.81,Tether
2017-09-26,1.003,1.026,0.994,1.003,63425.99,Tether
2017-09-27,1.003,1.009,0.9259,1.005,118144.97,Tether
2017-09-28,1.005,1.024,0.9851,1.005,92679.9,Tether
2017-09-29,1.005,1.015,0.9654,0.9995,97758.46,Tether
2017-09-30,0.9995,1.001,0.9512,0.9961,67227.58,Tether
2017-10-01,0.9961,1.008,0.9725,1.006,60917.83,Tether
2017-10-02,1.006,1.022,0.9965,1.005,71546.92,Tether
2017-10-03,1.005,1.029,0.9817,1.001,81952.21,Tether
2017-10-04,1.001,1.035,0.9941,1.002,64240.18,Tether
2017-10-05,1.002,1.017,0.9651,1.007,64032.53,Tether
2017-10-06,1.007,1.012,0.9836,1.001,61742.92,Tether
2017-10-07,0.9969,0.9984,0.9933,0.9943,863742.03,Tether
2017-10-08,1.003,0.9967,0.9528,0.9943,70957.36,Tether
2017-10-09,0.9943,1.018,0.9517,0.998,109966.89,Tether
2017-10-10,0.998,1.031,0.9874,0.9959,98083.68,Tether
2017-10-11,0.9959,1.011,0.9787,1.001,70527.63,Tether
2017-10-12,1.001,1.001,0.8869,1.001,164021.16,Tether
2017-10-13,1.001,1.036,0.9544,0.9978,214555.73,Tether
2017-10-14,0.9978,0.995,0.9488,0.9924,75647.58,Tether
2017-10-15,0.9924,1.029,0.9559,0.9979,101428.5,Tether
2017-10-16,0.9943,1.005,0.9673,0.9991,61301.15,Tether
2017-10-17,0.9999,1.032,0.9868,1.001,65679.31,Tether
2017-10-18,1.001,1.009,0.9216,1.005,122582.46,Tether
2017-10-19,1.012,1.013,0.974,1.006,83550.03,Tether
2017-10-20,1.003,1.011,0.9337,0.9972,123514.68,Tether
2017-10-21,0.9972,1.027,0.9752,0.9971,112619.53,Tether
2017-10-22,0.9971,1.02,0.9618,1.005,105602.46,Tether
2017-10-23,1.005,1.023,0.9543,0.9982,136891.36,Tether
2017-10-24,0.9981,1.078,0.9973,1.006,144655.21,Tether
2017-10-25,1.006,1.01,0.9447,1.008,106655.49,Tether
2017-10-26,1.008,1.016,0.9678,1.001,93809.23,Tether
2017-10-27,1.004,1.043,0.9902,1.003,84165.79,Tether
2017-10-28,0.9993,1.029,0.9913,1.004,53439.9,Tether
2017-10-29,1.001,1.02,0.9205,0.9964,162472.99,Tether
2017-10-30,0.9965,1.017,0.9834,1.001,78673.0,Tether
2017-10-31,1.001,1.001,0.9425,0.9983,101077.43,Tether
2017-11-01,0.998,1.0,0.9431,0.9999,133178.69,Tether
2017-11-02,0.9977,1.046,0.9598,1.001,238956.75,Tether
2017-11-03,1.001,1.046,0.9752,1.005,155679.94,Tether
2017-11-04,1.004,1.018,0.9457,1.001,106695.55,Tether
2017-11-05,1.001,1.035,0.9916,1.006,106356.89,Tether
2017-11-06,1.006,1.067,0.9964,0.9999,159669.44,Tether
2017-11-07,0.9999,1.023,0.985,1.006,101606.91,Tether
2017-11-08,1.005,1.077,0.9621,1.019,224452.41,Tether
2017-11-09,1.019,1.053,0.9944,1.007,127654.4,Tether
2017-11-10,1.007,1.127,0.986,1.011,224358.97,Tether
2017-11-11,1.009,1.092,0.9922,1.015,137747.52,Tether
2017-11-12,1.015,1.11,0.9391,1.005,271148.91,Tether
2017-11-13,1.012,1.045,0.9006,1.008,179735.52,Tether
2017-11-14,1.009,1.023,0.9763,1.003,96830.43,Tether
2017-11-15,1.003,1.011,0.9101,1.005,131747.02,Tether
2017-11-16,1.006,1.013,0.9054,0.9988,133780.4,Tether
2017-11-17,0.9989,1.039,0.9785,1.0,117342.46,Tether
2017-11-18,1.0,1.012,0.961,1.002,74563.33,Tether
2017-11-19,1.002,1.006,0.9531,0.9987,68527.08,Tether
2017-11-20,1.001,1.01,0.9677,1.004,75997.22,Tether
2017-11-21,1.004,1.031,0.963,0.9976,115174.02,Tether
2017-11-22,0.9976,1.012,0.9861,1.003,66039.93,Tether
2017-11-23,1.003,1.033,1.001,1.002,68117.89,Tether
2017-11-24,0.9991,1.024,0.9706,1.007,73541.56,Tether
2017-11-25,1.008,1.007,0.9372,1.006,85202.47,Tether
2017-11-26,1.006,1.038,0.9581,1.021,87673.69,Tether
2017-11-27,1.021,1.01,0.9663,1.009,107917.19,Tether
2017-11-28,1.009,1.007,0.9739,1.001,87837.8,Tether
2017-11-29,1.001,1.184,0.9271,1.02,238082.44,Tether
2017-11-30,1.021,1.091,0.9207,1.015,189788.51,Tether
2017-12-01,1.011,1.016,0.8743,1.008,132979.23,Tether
2017-12-02,1.008,1.026,0.9839,1.002,87003.54,Tether
2017-12-03,1.002,1.061,0.9471,1.007,122968.51,Tether
2017-12-04,1.007,1.004,0.943,1.004,93540.78,Tether
2017-12-05,1.004,1.017,0.9818,0.9972,89439.52,Tether
2017-12-06,0.9972,1.02,0.8595,1.013,194137.52,Tether
2017-12-07,1.013,1.017,0.8076,1.015,301679.79,Tether
2017-12-08,1.016,1.089,0.8757,1.011,289790.37,Tether
2017-12-09,1.011,1.113,0.8974,1.013,184308.59,Tether
2017-12-10,1.013,1.059,0.8745,1.011,203757.44,Tether
2017-12-11,1.011,1.05,0.9069,1.01,161311.6,Tether
2017-12-12,1.01,1.074,0.9942,1.045,138815.83,Tether
2017-12-13,1.045,1.078,0.9782,1.017,158008.84,Tether
