date,open,high,low,close,volume,currency
2017-09-05,1.347,1.41,0.8743,1.017,8794.19,Binance Coin
2017-09-06,1.017,32.54,0.1796,0.9829,19508.65,Binance Coin
2017-09-07,0.9829,3.22,0.9726,1.38,335092.01,Binance Coin
2017-09-08,1.38,1.325,0.9662,1.015,3044086.3,Binance Coin
2017-09-09,1.015,1.033,0.8807,0.9594,1139436.18,Binance Coin
2017-09-10,0.9594,1.016,0.9066,0.9425,900634.54,Binance Coin
2017-09-11,0.9425,1.099,0.9239,1.013,1086543.05,Binance Coin
2017-09-12,1.013,1.173,0.9879,1.046,1781525.55,Binance Coin
2017-09-13,1.046,0.9806,0.8854,0.9359,798109.36,Binance Coin
2017-09-14,0.9359,0.7678,0.6471,0.6699,874950.4,Binance Coin
2017-09-15,0.6699,0.8651,0.6622,0.8117,1263543.42,Binance Coin
2017-09-16,0.8117,0.9009,0.7482,0.8044,804284.34,Binance Coin
2017-09-17,0.8044,0.8331,0.7752,0.7842,483334.31,Binance Coin
2017-09-18,0.7842,0.9524,0.8545,0.8974,640960.42,Binance Coin
2017-09-19,0.8974,0.8742,0.7799,0.8009,585831.33,Binance Coin
2017-09-20,0.8009,0.8297,0.7409,0.7463,411084.42,Binance Coin
2017-09-21,0.7463,0.7218,0.6663,0.6908,373295.66,Binance Coin
2017-09-22,0.6908,0.7283,0.6865,0.7149,393721.15,Binance Coin
2017-09-23,0.7149,0.8126,0.7669,0.7703,382636.47,Binance Coin
2017-09-24,0.7703,0.7842,0.7359,0.7783,499411.27,Binance Coin
2017-09-25,0.7783,0.9392,0.7965,0.918,666738.69,Binance Coin
2017-09-26,0.918,0.9193,0.8399,0.859,790261.97,Binance Coin
2017-09-27,0.859,1.23,0.9039,1.153,1226739.89,Binance Coin
2017-09-28,1.153,1.449,1.102,1.369,2258296.43,Binance Coin
2017-09-29,1.369,1.345,1.15,1.255,1238118.34,Binance Coin
2017-09-30,1.255,1.333,1.227,1.28,882711.97,Binance Coin
2017-10-01,1.28,1.55,1.263,1.522,1181175.82,Binance Coin
2017-10-02,1.522,2.004,1.478,1.973,2621593.0,Binance Coin
