date,open,high,low,close,volume,currency
2017-09-05,0.0135,0.01413,0.001876,0.001908,3099.6,TRON
2017-09-06,0.001908,0.003389,0.001695,0.002034,14988.43,TRON
2017-09-07,0.002034,0.002012,0.001409,0.001811,23201.5,TRON
2017-09-08,0.001811,0.002172,6.1e-07,0.002172,15679.34,TRON
2017-09-09,0.002172,0.004551,0.00158,0.002825,70357.36,TRON
2017-09-10,0.002825,0.002783,0.001795,0.002094,57670.07,TRON
2017-09-11,0.002094,0.2056,0.001457,0.001999,64337.08,TRON
2017-09-12,0.001999,0.002941,0.001588,0.002059,71865.38,TRON
2017-09-13,0.002059,0.02179,0.001658,0.001953,30313.38,TRON
2017-09-14,0.001953,0.01718,0.001234,0.001383,48809.42,TRON
2017-09-15,0.001383,0.00183,0.0001376,0.001817,20218.36,TRON
2017-09-16,0.001817,0.2545,0.001272,0.001832,51476.81,TRON
2017-09-17,0.001832,2.308,0.001576,0.003346,127156.01,TRON
2017-09-18,0.003346,22017220.0,0.002464,0.003273,137620.33,TRON
2017-09-19,0.003273,0.0283,0.0002604,0.002578,121188.55,TRON
2017-09-20,0.002578,117989316.0,0.001985,0.002722,76964.03,TRON
2017-09-21,0.002722,103108000.0,0.001833,0.002075,85074.64,TRON
2017-09-22,0.002075,0.02025,0.001867,0.002077,34138.27,TRON
2017-09-23,0.002077,0.002364,0.002089,0.002346,40392.34,TRON
2017-09-24,0.002346,0.002351,0.002077,0.002247,47462.8,TRON
2017-09-25,0.002247,1474450.0,0.0007372,0.00174,83207.21,TRON
2017-09-26,0.00174,0.002598,0.001562,0.001876,43234.4,TRON
2017-09-27,0.001876,30997000.0,0.001736,0.002508,35701.19,TRON
2017-09-28,0.002508,0.002449,0.001583,0.001665,35402.8,TRON
2017-09-29,0.001665,0.04359,0.001463,0.001858,33555.38,TRON
2017-09-30,0.001858,0.002689,0.001547,0.00195,26614.0,TRON
2017-10-01,0.00195,0.002401,0.00152,0.001884,23783.71,TRON
2017-10-02,0.001884,0.003117,0.001707,0.00282,177205.7,TRON
