date,open,high,low,close,volume,currency
2017-09-05,0.01762,0.01924,0.0158,0.01868,875362.38,Stellar
2017-09-06,0.01868,0.02095,0.01863,0.02038,632484.05,Stellar
2017-09-07,0.02038,0.02086,0.01912,0.02029,633649.16,Stellar
2017-09-08,0.02029,0.02078,0.0168,0.01829,854727.58,Stellar
2017-09-09,0.01829,0.0183,0.01728,0.01789,251360.14,Stellar
2017-09-10,0.01789,0.01799,0.01591,0.01669,618476.2,Stellar
2017-09-11,0.01669,0.0182,0.01608,0.01722,537667.02,Stellar
2017-09-12,0.01722,0.0178,0.016,0.01642,362795.02,Stellar
2017-09-13,0.01642,0.01645,0.01464,0.01527,558185.51,Stellar
2017-09-14,0.01527,0.0157,0.01125,0.01131,834828.85,Stellar
2017-09-15,0.01131,0.0128,0.00611,0.01229,1933250.77,Stellar
2017-09-16,0.01229,0.0126,0.01015,0.01188,649738.51,Stellar
2017-09-17,0.01188,0.01188,0.01,0.01123,407281.29,Stellar
2017-09-18,0.01123,0.01384,0.0112,0.01351,908145.74,Stellar
2017-09-19,0.01351,0.01354,0.0113,0.01189,1056618.64,Stellar
2017-09-20,0.01189,0.013,0.0113,0.0123,435965.17,Stellar
2017-09-21,0.0123,0.0123,0.01041,0.01057,570688.72,Stellar
2017-09-22,0.01057,0.01117,0.01019,0.01077,348445.39,Stellar
2017-09-23,0.01077,0.01208,0.01063,0.0119,377970.08,Stellar
2017-09-24,0.0119,0.01204,0.01135,0.01157,168394.95,Stellar
2017-09-25,0.01157,0.0125,0.0113,0.01204,627939.01,Stellar
2017-09-26,0.01204,0.0125,0.01185,0.01236,249555.42,Stellar
2017-09-27,0.01236,0.01491,0.01227,0.01445,821612.04,Stellar
2017-09-28,0.01445,0.0146,0.0134,0.0137,441887.27,Stellar
2017-09-29,0.0137,0.01396,0.01285,0.01327,313391.26,Stellar
2017-09-30,0.01327,0.01411,0.01306,0.01398,218249.48,Stellar
2017-10-01,0.01398,0.01398,0.01318,0.01387,107046.37,Stellar
2017-10-02,0.01387,0.01387,0.0125,0.013,212429.71,Stellar
2017-10-03,0.013,0.013,0.01126,0.01241,443597.21,Stellar
2017-10-04,0.01241,0.01284,0.0115,0.01181,310842.2,Stellar
2017-10-05,0.01181,0.01515,0.01158,0.01449,841045.47,Stellar
2017-10-06,0.01449,0.01927,0.01449,0.01838,2043425.34,Stellar
2017-10-07,0.01838,0.0247,0.01838,0.02077,4976022.6,Stellar
2017-10-08,0.02077,0.022,0.0181,0.01862,2141875.48,Stellar
2017-10-09,0.01862,0.02199,0.0158,0.01764,2310951.57,Stellar
2017-10-10,0.01764,0.0188,0.01653,0.0188,787651.21,Stellar
2017-10-11,0.0188,0.02032,0.01824,0.01955,785319.91,Stellar
2017-10-12,0.01955,0.0199,0.0174,0.01794,1098756.13,Stellar
2017-10-13,0.01794,0.01877,0.01751,0.01786,1016762.31,Stellar
2017-10-14,0.01786,0.01917,0.0175,0.0175,716592.33,Stellar
2017-10-15,0.0175,0.0191,0.01665,0.0188,818049.32,Stellar
2017-10-16,0.01897,0.0478,0.01855,0.036,17600272.76,Stellar
2017-10-17,0.036,0.04789,0.03463,0.0461,8464218.14,Stellar
2017-10-18,0.04608,0.0465,0.0321,0.03515,4009625.72,Stellar
2017-10-19,0.03515,0.0357,0.0295,0.03114,2395595.69,Stellar
2017-10-20,0.03114,0.03251,0.02531,0.02656,2155371.82,Stellar
2017-10-21,0.02656,0.03899,0.02402,0.0365,4047479.42,Stellar
2017-10-22,0.0366,0.0387,0.03037,0.03138,3283492.2,Stellar
2017-10-23,0.0314,0.03745,0.02955,0.03438,2263815.88,Stellar
2017-10-24,0.03453,0.0429,0.03358,0.037,4176859.47,Stellar
2017-10-25,0.037,0.03847,0.03362,0.03516,1576587.91,Stellar
2017-10-26,0.03529,0.03744,0.03416,0.0347,1108465.77,Stellar
