,Type,Ort
53,explosion,"1 km SW of Kendall, Washington"
76,explosion,"6 km NNE of Myrtle Creek, Oregon"
79,explosion,"7 km N of McCleary, Washington"
151,explosion,"4 km WSW of Yacolt, Washington"
551,explosion,"12 km ENE of Fox, Alaska"
562,explosion,"2 km ENE of Granite Falls, Washington"
626,explosion,"7 km ESE of Blyn, Washington"
982,explosion,"13 km ENE of Fox, Alaska"
1437,explosion,"16 km S of Princeton, Canada"
1715,explosion,"11 km E of Fox, Alaska"
1723,explosion,"3 km W of Winlock, Washington"
1748,explosion,"4 km SE of Princeton, Canada"
1762,explosion,"4 km NNW of Metchosin, Canada"
1764,explosion,"13 km W of Greenwater, Washington"
1773,explosion,"6 km NE of Amity, Oregon"
2123,explosion,"18 km E of Ferry, Alaska"
2147,explosion,"9 km N of Maple Falls, Washington"
2149,explosion,"12 km NE of Abbotsford, Canada"
2172,explosion,"14 km NNW of Two Rivers, Alaska"
2204,explosion,"4 km WSW of Kapowsin, Washington"
2218,explosion,"9 km W of Drain, Oregon"
2557,explosion,"10 km E of Fox, Alaska"
2606,explosion,"13 km W of Greenwater, Washington"
2644,explosion,"2 km ENE of Swede Heaven, Washington"
2677,explosion,"13 km SW of North Saanich, Canada"
3027,explosion,"12 km NW of Langford, Canada"
3105,explosion,"4 km NW of Lake Cavanaugh, Washington"
3412,explosion,"2 km ESE of Lewisville, Washington"
3422,explosion,"11 km ENE of Fox, Alaska"
3434,explosion,"12 km W of Chilliwack, Canada"
3526,explosion,"6 km SW of Quilcene, Washington"
3806,explosion,"16 km NNW of Two Rivers, Alaska"
4157,explosion,"10 km E of Fox, Alaska"
4555,explosion,"12 km E of Fox, Alaska"
4568,explosion,"14 km ENE of Willapa, Washington"
4576,explosion,"12 km S of Princeton, Canada"
4993,explosion,"10 km ENE of Fox, Alaska"
5024,explosion,"10 km S of Princeton, Canada"
5030,explosion,"7 km ESE of Tangent, Oregon"
5090,explosion,"20 km SSE of Princeton, Canada"
5094,explosion,"7 km SSE of White City, Oregon"
5400,explosion,"17 km E of Ferry, Alaska"
5411,explosion,"10 km ENE of Fox, Alaska"
5417,explosion,"12 km W of Chilliwack, Canada"
5456,explosion,"4 km NW of Hermiston, Oregon"
5797,explosion,"15 km N of Two Rivers, Alaska"
6213,explosion,"11 km ENE of Fox, Alaska"
6219,explosion,"4 km NNW of Venersborg, Washington"
6654,explosion,"13 km E of Fox, Alaska"
6690,explosion,"2 km S of Princeton, Canada"
7058,explosion,"11 km ENE of Fox, Alaska"
7425,explosion,"8 km S of Princeton, Canada"
7451,explosion,northern Alaska
7497,explosion,"4 km SSW of Port Ludlow, Washington"
7516,explosion,"5 km ESE of Enumclaw, Washington"
7729,explosion,"13 km E of Ferry, Alaska"
7787,explosion,"8 km NW of Winlock, Washington"
7791,explosion,"13 km ENE of Fox, Alaska"
7794,explosion,"1 km WNW of Cowichan Bay, Canada"
7810,explosion,"4 km WNW of Darrington, Washington"
7840,explosion,"12 km W of Greenwater, Washington"
7864,explosion,"9 km NE of Sprague, Washington"
8227,explosion,"8 km N of Maple Falls, Washington"
8235,explosion,"9 km SW of Port Angeles, Washington"
8236,explosion,"13 km E of Fox, Alaska"
8237,explosion,"1 km WSW of Cowichan Bay, Canada"
8258,explosion,"21 km SSE of Princeton, Canada"
8287,explosion,"7 km E of Bonanza, Oregon"
